注：晨光始昏影终以及月出月没时刻均为北京时间；月出或月没时刻中如果小时的数据为55，表明当天没有月出或月没。
青海冷湖：纬度=38:33:14.69N 经度= 93:48:43.18E
          天文晨光始  航海晨光始  民用晨光始  民用昏影终  航海昏影终  天文昏影终   月出   月没
20170101     07:27       08:00       08:33       19:04       19:37       20:09    10:52  21:38
20170102     07:28       08:00       08:33       19:05       19:38       20:10    11:31  22:39
20170103     07:28       08:00       08:33       19:06       19:39       20:11    12:07  23:41
20170104     07:28       08:00       08:33       19:06       19:40       20:12    12:41  55:41
20170105     07:28       08:00       08:33       19:07       19:40       20:13    13:16  00:44
20170106     07:28       08:00       08:33       19:08       19:41       20:13    13:51  01:49
20170107     07:28       08:00       08:33       19:09       19:42       20:14    14:29  02:56
20170108     07:28       08:00       08:33       19:10       19:43       20:15    15:10  04:04
20170109     07:28       08:00       08:33       19:11       19:44       20:16    15:56  05:12
20170110     07:28       08:00       08:33       19:12       19:45       20:17    16:48  06:21
20170111     07:28       08:00       08:33       19:13       19:46       20:18    17:46  07:26
20170112     07:28       08:00       08:33       19:14       19:46       20:18    18:49  08:26
20170113     07:28       08:00       08:32       19:15       19:47       20:19    19:54  09:19
20170114     07:28       08:00       08:32       19:16       19:48       20:20    21:00  10:06
20170115     07:27       07:59       08:32       19:17       19:49       20:21    22:04  10:47
20170116     07:27       07:59       08:32       19:18       19:50       20:22    23:06  11:24
20170117     07:27       07:59       08:31       19:19       19:51       20:23    55:06  11:57
20170118     07:27       07:58       08:31       19:20       19:52       20:24    00:05  12:28
20170119     07:26       07:58       08:31       19:21       19:53       20:25    01:03  12:59
20170120     07:26       07:58       08:30       19:22       19:54       20:26    02:00  13:30
20170121     07:26       07:57       08:30       19:23       19:55       20:27    02:55  14:02
20170122     07:25       07:57       08:29       19:24       19:56       20:28    03:50  14:36
20170123     07:25       07:56       08:29       19:25       19:57       20:29    04:44  15:14
20170124     07:24       07:56       08:28       19:26       19:58       20:30    05:38  15:56
20170125     07:24       07:55       08:27       19:27       19:59       20:31    06:30  16:43
20170126     07:23       07:55       08:27       19:28       20:00       20:32    07:20  17:34
20170127     07:23       07:54       08:26       19:29       20:01       20:33    08:06  18:30
20170128     07:22       07:54       08:25       19:30       20:02       20:34    08:50  19:29
20170129     07:22       07:53       08:25       19:31       20:03       20:35    09:30  20:30
20170130     07:21       07:52       08:24       19:32       20:04       20:36    10:08  21:33
20170131     07:20       07:51       08:23       19:34       20:05       20:37    10:44  22:37
20170201     07:20       07:51       08:22       19:35       20:06       20:38    11:19  23:42
20170202     07:19       07:50       08:22       19:36       20:07       20:39    11:54  55:42
20170203     07:18       07:49       08:21       19:37       20:08       20:40    12:30  00:48
20170204     07:17       07:48       08:20       19:38       20:09       20:41    13:09  01:54
20170205     07:16       07:47       08:19       19:39       20:10       20:42    13:52  03:01
20170206     07:16       07:47       08:18       19:40       20:12       20:43    14:40  04:08
20170207     07:15       07:46       08:17       19:41       20:13       20:44    15:34  05:12
20170208     07:14       07:45       08:16       19:42       20:14       20:45    16:33  06:12
20170209     07:13       07:44       08:15       19:43       20:15       20:46    17:35  07:07
20170210     07:12       07:43       08:14       19:44       20:16       20:47    18:40  07:56
20170211     07:11       07:42       08:13       19:45       20:17       20:48    19:44  08:40
20170212     07:10       07:41       08:12       19:46       20:18       20:49    20:48  09:18
20170213     07:09       07:40       08:11       19:48       20:19       20:50    21:49  09:53
20170214     07:08       07:39       08:10       19:49       20:20       20:51    22:49  10:26
20170215     07:07       07:38       08:09       19:50       20:21       20:52    23:47  10:57
20170216     07:06       07:36       08:07       19:51       20:22       20:53    55:47  11:29
20170217     07:04       07:35       08:06       19:52       20:23       20:54    00:44  12:01
20170218     07:03       07:34       08:05       19:53       20:24       20:55    01:39  12:34
20170219     07:02       07:33       08:04       19:54       20:25       20:56    02:34  13:11
20170220     07:01       07:32       08:03       19:55       20:26       20:57    03:28  13:51
20170221     07:00       07:30       08:01       19:56       20:27       20:58    04:20  14:35
20170222     06:58       07:29       08:00       19:57       20:28       20:59    05:11  15:24
20170223     06:57       07:28       07:59       19:58       20:29       21:00    05:58  16:17
20170224     06:56       07:27       07:57       19:59       20:30       21:01    06:43  17:15
20170225     06:55       07:25       07:56       20:00       20:31       21:02    07:26  18:16
20170226     06:53       07:24       07:55       20:01       20:32       21:03    08:05  19:19
20170227     06:52       07:23       07:53       20:02       20:33       21:04    08:42  20:25
20170228     06:51       07:21       07:52       20:03       20:34       21:05    09:18  21:31
20170301     06:49       07:20       07:51       20:04       20:35       21:06    09:54  22:38
20170302     06:48       07:18       07:49       20:05       20:36       21:07    10:31  23:46
20170303     06:46       07:17       07:48       20:06       20:37       21:08    11:10  55:46
20170304     06:45       07:16       07:46       20:07       20:38       21:09    11:52  00:54
20170305     06:43       07:14       07:45       20:08       20:39       21:10    12:38  02:01
20170306     06:42       07:13       07:43       20:09       20:40       21:11    13:29  03:05
20170307     06:41       07:11       07:42       20:10       20:41       21:12    14:25  04:06
20170308     06:39       07:10       07:41       20:11       20:42       21:13    15:25  05:01
20170309     06:37       07:08       07:39       20:12       20:43       21:14    16:27  05:51
20170310     06:36       07:07       07:38       20:13       20:44       21:15    17:30  06:35
20170311     06:34       07:05       07:36       20:14       20:45       21:16    18:33  07:15
20170312     06:33       07:04       07:35       20:15       20:46       21:17    19:35  07:51
20170313     06:31       07:02       07:33       20:16       20:47       21:18    20:35  08:24
20170314     06:30       07:01       07:31       20:17       20:48       21:19    21:34  08:56
20170315     06:28       06:59       07:30       20:18       20:49       21:20    22:32  09:27
20170316     06:26       06:58       07:28       20:19       20:50       21:21    23:28  09:59
20170317     06:25       06:56       07:27       20:20       20:51       21:22    55:28  10:32
20170318     06:23       06:54       07:25       20:21       20:52       21:23    00:24  11:07
20170319     06:22       06:53       07:24       20:22       20:53       21:24    01:18  11:46
20170320     06:20       06:51       07:22       20:23       20:54       21:25    02:11  12:28
20170321     06:18       06:50       07:21       20:24       20:55       21:26    03:02  13:14
20170322     06:17       06:48       07:19       20:25       20:56       21:28    03:50  14:05
20170323     06:15       06:46       07:17       20:26       20:57       21:29    04:36  15:00
20170324     06:13       06:45       07:16       20:27       20:58       21:30    05:18  15:59
20170325     06:11       06:43       07:14       20:28       20:59       21:31    05:59  17:01
20170326     06:10       06:42       07:13       20:29       21:00       21:32    06:37  18:05
20170327     06:08       06:40       07:11       20:30       21:01       21:33    07:13  19:12
20170328     06:06       06:38       07:10       20:31       21:02       21:34    07:50  20:20
20170329     06:05       06:37       07:08       20:32       21:03       21:35    08:27  21:30
20170330     06:03       06:35       07:06       20:33       21:04       21:36    09:06  22:40
20170331     06:01       06:33       07:05       20:34       21:05       21:38    09:48  23:50
20170401     05:59       06:32       07:03       20:35       21:06       21:39    10:34  55:50
20170402     05:58       06:30       07:02       20:36       21:07       21:40    11:24  00:57
20170403     05:56       06:28       07:00       20:37       21:08       21:41    12:20  02:01
20170404     05:54       06:27       06:59       20:38       21:09       21:42    13:19  02:58
20170405     05:52       06:25       06:57       20:39       21:11       21:43    14:20  03:50
20170406     05:51       06:24       06:55       20:40       21:12       21:45    15:23  04:35
20170407     05:49       06:22       06:54       20:41       21:13       21:46    16:24  05:15
20170408     05:47       06:20       06:52       20:42       21:14       21:47    17:25  05:51
20170409     05:45       06:19       06:51       20:43       21:15       21:48    18:25  06:25
20170410     05:44       06:17       06:49       20:44       21:16       21:50    19:24  06:56
20170411     05:42       06:15       06:48       20:45       21:17       21:51    20:22  07:27
20170412     05:40       06:14       06:46       20:46       21:18       21:52    21:19  07:58
20170413     05:38       06:12       06:45       20:47       21:19       21:53    22:15  08:31
20170414     05:37       06:11       06:43       20:48       21:20       21:54    23:10  09:05
20170415     05:35       06:09       06:42       20:49       21:21       21:56    55:10  09:42
20170416     05:33       06:07       06:40       20:50       21:23       21:57    00:04  10:23
20170417     05:31       06:06       06:39       20:51       21:24       21:58    00:55  11:07
20170418     05:30       06:04       06:37       20:52       21:25       22:00    01:44  11:56
